
diagrammes
Memorial T. Rrhioua
Memorial V. Bron-100
Memorial W. Melnitschenko
Memorial Z. Birnow
Mem.-T. K. Behting
Mem.-T. W. I. Lenin
Messigny
Milan Vukcevich--MT
Miniatures strat\'egiques
Missouri Democrat
M.\,M.~Barulin-100-MT
M.\ Niemeijer MT
Molodoj Leninets
Moment
Morning Post
Moskau 850--JT
Moskauer Turnier
Moultings 9
M.~Prikril--MT
MT--Dedrle (TT)
M.\,T.\ Dzektser Problemist Yuga
MT -- V.~Bron
M"unchener Zeitung
M"unchner Neueste Nachrichten
M. Vukcevich-MT
Mystetska Shakhivnytsya
Stella polaris
N\'arodni Listy
National-Zeitung
Nat. Problemturnier
NBvSV 60--JT
Neue Leipziger Zeitung
Neue Osnabr"ucker Zeitung
Neue Z"urcher Zeitung
New Statesman
New~York~Clipper
New York Post
New York Sunday World
Niederl"andisches~JT
Niederlande--Deutschland
Noorte H"a"al
Northwest Chess
North West Chess
Novi Temi
Nowoje Wremja
Nowoworonesh AKW 40 JT 2004\award{1.-3. Preis}
Numa Preti-MT La Strat\'egie
Nuova Rivista degli Scacchi
Nya Dagligt Allehania
N.\,Y. Evening Telegram
N.\,Y.\ State Chess Ass.
Oestrich-Winkel TT
Offene Meisterschaft Kroatiens
Offene Moskauer Meisterschaft
O Globo
Olympiade Leipzig 1960
Olympiade London
Olympiade M"unchen
Olympiade-Turnier
Olympia-Turnier Thessaloniki 1984
Olympia-T. Nizza (v)
Orbit
ORBIT
Osservazioni~teoretico-practiche sopra il giuoco degli schacchi
"Osterreichische Schachzeitung
Ostrauer Morgenzeitung
Palitzsch MT
Parall\`ele 50
PAS-L"aufer
Pat a Mat
PAT A MAT
Paul-Keres-GT
PCCC Sarajewo
Pf"alzisches Problemturnier Rheing"onheim
P.\,Gvozdj\'ak--30 JT
ph\'enix
Ph\'enix
Phoenix
Pitk"anen--60--JT
Pittsburgh  Gazette Times
P.~Jaeger--80-JT
P.\,Kniest--GT
Schachmatt
Plovdiv
Pobeda--50--JT
Politika Meredith Tourney
Postsjakk
Pr\'aca
Praca Turnier
Prager Presse
Pravda
Pravda Tirnavia
Prawda Wostoka
Priasowskije Stepi
Probleemblad
problem
Problemas
Problemaz
Problemblaad
Problem-Echo
Problemesis
Problem-Forum
PROBLEM-FORUM
Problemisten
Problemist Pribuschja
Problemkiste
Problemnoter
Problem Paradise
Problemschachschule W. Rudenko
Problemschack
Problemturn.\ des Niederl"and.\ Schachbundes
Problemtur. N"urnberg
Problem
Pruboj
Pula
Puschkin--200--MT
Quartz
Raketa 1944
R. B\'edoni--70 JT
R.~Dragoescu MT
Revista Romana de Sah
Revista Rom\^an\u{a} de \c{S}ah
Rex Multiplex
Reytsen-70 JT
Rekordy/K"OKO
Retrograde Analysis
Retros Mailing List
Revista de Sah
Rhodos
Rigaer Tageblatt
Rijen
Rochade
Rochade Europa
Rochade Miniaturturnier
Rochade Th"uringen
Rodos
Rokada
R"omming--JT des Pf"alz.~Schachbundes
Roslov-40 JT
Rossomacho--64--JT
Roycroft-JT
Rudenko--60--JT
Rudenko -- 70, 2008
Rudenko--JT
Rybak Primorja
Sachsen -- Schweiz
Sachsentreffen III/2004
Sachsen-Westfalen
S"achsische Zeitung
Sackmann MT
Sadatschi+Etjudi 2004
Sadatschi i Etjudi
Sadatschi i etjudy
Sahovski Vjesnik
Sahs
Sakk\'elet
SA Kummunism
Sala Zvolen
Sammler
Sa\~{o} Paulo
Saporosch-Turnier
Saporoshskaja Prawda 1964
Sbornik etjudow
Schach
SCHACH
Schach aktiv 
Schach-Aktiv
Schach-Echo
Schach-Express
Schach in Schleswig-Holstein
Schach-Magazin
Schachmati w SSSR
Schachmatnaja Komposizija
Schachmatnaja Moskva
Schachmatnaja Poesia 2001
Schachmatnaja Poesija
Schachmatnaja poesija
Schachmatna misal
Schachmatna misl
Schachmatna Misl
Schachmatnaya Komposizija
Schachmatnoje obozrenie
Schachmatny Journal
Schachmatny Listok 
Schachmatt
Schachmaty
Schachmaty UdSSR
Schachmaty wSSSR
Schachmaty w SSSR
Schachmatyw SSSR
Schacholympia Berlin
Schach-Olympiade
Schach-Olympiade Thessaloniki
Schach-Report
Schachspiegel
Schachzeitung
Schackv"arlden
Schakend Nederland
Schamatnaja Komposizija
Schiffs with everything
Schwalbe-Internet
Schweden-Israel 1984-86
Schweizerische Schachzeitung
Schweizer Arbeiter Schachzeitung
Schweizer Meisterschaft
Schweizer Schachmag.
Schweizer Schach-Magazin
Schweiz--Schweden
Schach-Olympiade Leipzig
Scrapings
Seider--MT
Seneca M\'{e}morial
S.\,E.\,P.\,A.
Shahmat
Shakhmatny listok
Shakhmaty v SSSR
Shakmat
Shakmatna Misl%
Shakmatnaya Kompozitsiva
Shakmatnii Okontsjaja
Shakmaty w SSSR
Shortest Proof Games 1991
D.~J.~Densmore and the Densmore Memorial Tourney
Sinfonie Scacchistiche
Skakbladet
S.~Lewman--100--MT
Slobodne slovo
Slovenska organ. kompoz. \v{sachu}
Brentano's Chess Monthly 1882
Londoner Problemturnier 1862
South African Chess Mag. 1947
Solidarity Ty
"`Urania 80"'
Sonnenfeld--70--JT
Sopra il giuoco degli Scacchi
Allgemeine Zeitung Mainz 1959
Southern Trade Gazette
Sowietskoje Sapoljarie 
Spartak--50
Spartakiade
Spis\v{ska Borovi\v{c}ka
Springaren
Springerzauber
Sredba na Solidarnosta
S.~Sacharow-50--JT
SSH
SSZ
StateGems
Stella Polaris
Stern
STERN
Sternvlucht + Kruisvlucht
St. Petersburger Zeitung
StrateGems
Struga 1981
Stuttgarter Nachrichten
Stuttgarter Zeitung
S"uddeutsche Schachzeitung
Sunday Express
Suomen Shakki
Suomen Teht\"av\"aniekat
S\'UV \v{CSZTV}
Svenska Dagblad
Svenska Dagbladet
SVTVS
Swerdlowsker Kommitee FKiS
Swerdlowsker Turnier
Swerdlowskogo KFS
Sydv. Dagbl. Sn"allposten
Szachista
Szachista Polski
Szachy
Tagesanzeiger
Tagesspiegel Berlin
Texas Siftings
The Brisbane Courier
The Chess Amateur
The Chess Player
The Chess Player's Chronicle
The Circle
The Enquirer (Cincinnati)
The Fairy chess Review
The Good Companion C.\,P.\,C.
The Hackney Mercury
The Macedonian Problemist
Thema~Danicum
Thema-Turnier "`MZ27"'
Th\`{emes 64}
The Modern Chess Problem
The Observer
The Problemist
The Problemist Fairy Chess Supplement
The Problemist Supplement
The Westminster Papers
Tidskrift f"or Schack
Tidskrift
Tijdschrift
Tijdschrift KNSB
Tijdschrift N.\,I.\,S.\,B.
Tijdschrift v. d. KNSB
Tijdschrift v.\,d.\,KNSB
Tijdschrift v.\,d.\,K.\,N.\,SB.
Tijdschrift v. d. Nederlandse Schackbond
Tim Krabb\'e--60--JT
Poslednie Novost\'e
Torre i Cavallo
Trait\'e sur le jeu des \'echecs
Troll
TROLL
Trud
Tschechischer Schachbund
Tschechoslow. Turnier
Tschepishny--70--JT
Tschigorin-MT
TT Cambridge
TT Cheltenham
TT Meerane
TT Problem
Tukor
Tungsram-Turnier
Turku
Turn.\,Dresdner Anzg.
Turnier der Hamburger Schachgesellschaft
Turnier der HAZ 1957/58
Turnier der Ostrauer Morgenzeitung
Turnier der Solidarit"at
Turnier~Dresdner Anzeiger 1926
Turnier Moskau
T\'yden rozhlasu
Tygodnik Illustrowany
Udarzew--65--JT
Udvalgte Skakproblemer
Uralskie Skazy
Uralskij Problemist
Uralski Problemist
\u{S}ahs 1963
U.\,S.\,Problem Bulletin
USSR-Turnier
Uzbekistan Ty
V{\aart Hem}
Variantim
\v{C}asopis \v{c}esk\'ych \v{s}achist\r{u}
\v{C}eskoslovensk\'{a} republika
\v{C}eskoslovenska republik\'{a}
\v{C}eskoslovensk\`{y} \v{S}ach
\v{C}esk\'y Spolek \v{S}achovni
Vecherny Leningrad
V.\,Nestorescu--65 JT
Vratnica-64
V. Rudenko -- 70
\v{S}ach 1941
\v{S}acha Pasaule
\v{Sachov\'{a} skladba}
\v{S}achov\'{e} um\v{e}nie
\v{S}achovska kompozicija
\v{S}ahovski glasnik
Vukcevich-Jub.-T.
W\c{e}drowiec
Vukcevich--MT
V.~Zubanov--JT
Wageningen 2006
\v{C}eskoslovensk\'y \v{s}ach
Tschechower--90--MT
Week-End Problems Book
Weekly Citizen (Glasgow)
Weenink-MT 1932
Wertheim-MT
Western Daily Mercury
Westminster Papers
Wetschernjaja Alma-Ata
Wetscherny Leningrad
Wetscherny Peterburg
Wetsch.\ Odessa/Schachm.~Poesia
Wettkampf Moskau--Rostow am Don 1930
W.~Gebelt--JT
Wiener Schachzeitung
Wiesbadener Kurier
Wirtanen-JT
W.~Jerochin--60--JT
Wl.~Sheltonoshko--60--JT
Wochenpost
Wola Gulowska
Wola Gulowska 
Wolfgang-Pauly-GT
XII. Mannschaftskampf Russland
Yenowine News
Youisnij
Zadachi i Etudy
Zeit-Magazin
Zepler MT
Zitiert in "`J.~Juchli's Schachprobleme"'
Zlat\'a Praha
Z"uricher Illustrierte Zeitung
