Identifier,Label,Description,Created,Modified,History notes,Type,Parent identifiers,Parent labels,
85,Building and construction,,2013-04-03,2013-04-03,,Function,82,"Licences, permits and permissions",
86,Businesses and markets,,2013-04-03,2013-04-03,,Function,82,"Licences, permits and permissions",
89,Food,,2013-04-03,2013-04-03,,Function,82,"Licences, permits and permissions",
90,Gambling and lottery,,2013-04-03,2013-04-03,,Function,82,"Licences, permits and permissions",
88,Hazardous materials,,2013-04-03,2013-04-03,,Function,82,"Licences, permits and permissions",
87,Social care and education,,2013-04-03,2013-04-03,,Function,82,"Licences, permits and permissions",
91,Transport,,2013-04-03,2013-04-03,,Function,82,"Licences, permits and permissions",
92,Utilites,,2013-04-03,2013-04-03,,Function,82,"Licences, permits and permissions",
93,Waste and pollution,,2013-04-03,2013-04-03,,Function,82,"Licences, permits and permissions",
94,Water activities,,2013-04-03,2013-04-03,,Function,82,"Licences, permits and permissions",
95,Marine and waterway services,,2013-04-03,2013-04-03,,Function,,,
96,Coastline,,2013-04-03,2013-04-03,,Function,95,Marine and waterway services,
97,Inland waterways,,2013-04-03,2013-04-03,,Function,95,Marine and waterway services,
98,Ports and harbours,,2013-04-03,2013-04-03,,Function,95,Marine and waterway services,
99,Planning and building control,,2013-04-03,2013-04-03,,Function,,,
100,Building control,,2013-04-03,2013-04-03,,Function,99,Planning and building control,
101,Development control,,2013-04-03,2013-04-03,,Function,99,Planning and building control,
102,Heritage and landscape,,2013-04-03,2013-04-03,,Function,99,Planning and building control,
103,Planning policy,,2013-04-03,2013-04-03,,Function,99,Planning and building control,
104,Town centre management,,2013-04-03,2013-04-03,,Function,99,Planning and building control,
105,Transport and highways,,2013-04-03,2013-04-03,,Function,,,
106,Community transport,,2013-04-03,2013-04-03,,Function,105,Transport and highways,
107,Cycling,,2013-04-03,2013-04-03,,Function,105,Transport and highways,
108,"Footpaths, byways and bridleways",,2013-04-03,2013-04-03,,Function,105,Transport and highways,
109,Maintenance,,2013-04-03,2013-04-03,,Function,105,Transport and highways,
110,Parking,,2013-04-03,2013-04-03,,Function,105,Transport and highways,
111,Public transport,,2013-04-03,2013-04-03,,Function,105,Transport and highways,
112,Road safety,,2013-04-03,2013-04-03,,Function,105,Transport and highways,
113,Transport schemes,,2013-04-03,2013-04-03,,Function,105,Transport and highways,
